,tcompound,tdate,tneg,tneu,tpos,tsource,ttext
294,0.8689,Sat Jul 21 13:02:04 +0000 2018,0.0,0.647,0.353,The New York Times,"Modern Love: Inside his son's wallet, a father finds cards that can be redeemed for free hotel nights and drinks, b… https://t.co/1W6jAfdYM9"
295,0.0,Sat Jul 21 12:42:02 +0000 2018,0.0,1.0,0.0,The New York Times,"Each year for 22 years, 10 underrecognized female artists over 40 have received an anonymous $25,000. Now the benef… https://t.co/CDRKxAv5BW"
296,-0.296,Sat Jul 21 12:21:03 +0000 2018,0.095,0.905,0.0,The New York Times,RT @anahadoconnor: A new study finds that parents often underestimate the amount of sugar in their kids foods -- sometimes radically. And k…
297,0.0,Sat Jul 21 12:02:04 +0000 2018,0.0,1.0,0.0,The New York Times,"Earlier this month, WeWork announced that it was essentially going vegetarian  https://t.co/NjWaIv2Yrc"
298,0.0,Sat Jul 21 11:44:55 +0000 2018,0.0,1.0,0.0,The New York Times,The Thatcher Files: On Europe (and Teddy Bears) https://t.co/1B21f6l0F9
299,-0.1027,Sat Jul 21 11:42:01 +0000 2018,0.069,0.931,0.0,The New York Times,Passengers are increasingly willing to pay more for premium economy seats on long airplane trips that come with a h… https://t.co/vjeBIUJCuK
300,-0.3182,Fri Jul 20 21:20:29 +0000 2018,0.187,0.813,0.0,BBC News (UK),Nine US 'duck boat' victims from the same family - governor https://t.co/hSkvBqfwZM
301,0.4019,Fri Jul 20 21:07:44 +0000 2018,0.132,0.566,0.302,BBC News (UK),"Smart meters to cut energy bills by just £11, say MPs https://t.co/EFZ0VBot6D"
302,-0.3612,Fri Jul 20 20:56:19 +0000 2018,0.217,0.783,0.0,BBC News (UK),Israel launches Gaza strikes as soldier dies from gunshot https://t.co/fOewjdtrQZ
303,0.0,Fri Jul 20 20:32:43 +0000 2018,0.0,1.0,0.0,BBC News (UK),"Mark Ronson, Jax Jones and MK on Radio 1 Ibiza line-up https://t.co/ltBLxX14WQ"
304,-0.6705,Fri Jul 20 20:30:13 +0000 2018,0.29,0.71,0.0,BBC News (UK),Parkland school shooting: Father of two survivors killed in Florida store https://t.co/bnlT6NM4kf
305,0.0,Fri Jul 20 20:15:32 +0000 2018,0.0,1.0,0.0,BBC News (UK),"RT @BBCScotlandNews: Golden retrievers gather at ancestral Highland home to mark 150 years since breed's founding
https://t.co/U5e3W6fZmi h…"
306,0.5574,Fri Jul 20 20:15:21 +0000 2018,0.0,0.87,0.13,BBC News (UK),"RT @bbcweather: After Friday's rain, heat is set to return for the week ahead. How long will it last? Ben Rich has the details. https://t.c…"
307,0.0,Fri Jul 20 17:30:45 +0000 2018,0.0,1.0,0.0,BBC News (UK),"They think it's all over... 

https://t.co/kOm5JZj9L1"
308,0.0772,Fri Jul 20 17:28:52 +0000 2018,0.206,0.561,0.234,BBC News (UK),Brexit: What would a 'no deal' look like? https://t.co/TJHu2ulI0H
